,id,name,custom,orderable,navigable,searchable,clauseNames,schema
207,customfield_10410,Risk Assessment,True,True,True,True,"['cf[10410]', 'Risk Assessment']","{'type': 'option', 'custom': 'com.atlassian.jira.plugin.system.customfieldtypes:select', 'customId': 10410}"
208,customfield_12831,Support Points,True,True,True,True,"['cf[12831]', 'Support Points']","{'type': 'number', 'custom': 'com.atlassian.jira.plugin.system.customfieldtypes:float', 'customId': 12831}"
209,customfield_18932,Original Estimate,True,True,True,True,"['cf[18932]', 'Original Estimate']","{'type': 'number', 'custom': 'com.atlassian.jira.plugin.system.customfieldtypes:float', 'customId': 18932}"
210,customfield_12830,Ratio,True,True,True,True,"['cf[12830]', 'Ratio']","{'type': 'string', 'custom': 'com.atlassian.jira.plugin.system.customfieldtypes:textfield', 'customId': 12830}"
211,customfield_10653,Story Points,True,True,True,True,"['cf[10653]', 'Story Points']","{'type': 'number', 'custom': 'com.atlassian.jira.plugin.system.customfieldtypes:float', 'customId': 10653}"
212,customfield_10401,To be done by,True,True,True,True,"['cf[10401]', 'To be done by']","{'type': 'option', 'custom': 'com.atlassian.jira.plugin.system.customfieldtypes:select', 'customId': 10401}"
213,security,Security Level,False,True,True,True,['level'],"{'type': 'securitylevel', 'system': 'security'}"
214,attachment,Attachment,False,True,False,True,['attachments'],"{'type': 'array', 'items': 'attachment', 'system': 'attachment'}"
215,customfield_17031,QA Demo Status,True,True,True,True,"['cf[17031]', 'QA Demo Status']","{'type': 'option', 'custom': 'com.atlassian.jira.plugin.system.customfieldtypes:select', 'customId': 17031}"
216,customfield_17030,QA Kickoff Status,True,True,True,True,"['cf[17030]', 'QA Kickoff Status']","{'type': 'option', 'custom': 'com.atlassian.jira.plugin.system.customfieldtypes:select', 'customId': 17030}"
217,customfield_15532,Performance Gain,True,True,True,True,"['cf[15532]', 'Performance Gain']","{'type': 'string', 'custom': 'com.atlassian.jira.plugin.system.customfieldtypes:textfield', 'customId': 15532}"
218,customfield_17831,Reason,True,True,True,True,"['cf[17831]', 'Reason']","{'type': 'option', 'custom': 'com.atlassian.jira.plugin.system.customfieldtypes:select', 'customId': 17831}"
219,customfield_15530,Server / Client,True,True,True,True,"['cf[15530]', 'Server / Client']","{'type': 'option', 'custom': 'com.atlassian.jira.plugin.system.customfieldtypes:radiobuttons', 'customId': 15530}"
220,customfield_17830,Splunk query to find customers impacted by this bug,True,True,True,True,"['cf[17830]', 'Splunk query to find customers impacted by this bug']","{'type': 'string', 'custom': 'com.atlassian.jira.plugin.system.customfieldtypes:textarea', 'customId': 17830}"
221,customfield_11730,Risk,True,True,True,True,"['cf[11730]', 'Risk']","{'type': 'option', 'custom': 'com.atlassian.jira.plugin.system.customfieldtypes:select', 'customId': 11730}"
222,customfield_12932,Epic Name,True,True,True,True,"['cf[12932]', 'Epic Name']","{'type': 'string', 'custom': 'com.pyxis.greenhopper.jira:gh-epic-label', 'customId': 12932}"
223,customfield_12931,Epic Link,True,True,True,True,"['cf[12931]', 'Epic Link']","{'type': 'any', 'custom': 'com.pyxis.greenhopper.jira:gh-epic-link', 'customId': 12931}"
224,customfield_12934,Epic Colour,True,True,True,True,"['cf[12934]', 'Epic Colour']","{'type': 'string', 'custom': 'com.pyxis.greenhopper.jira:gh-epic-color', 'customId': 12934}"
225,customfield_12933,Epic Status,True,True,True,True,"['cf[12933]', 'Epic Status']","{'type': 'option', 'custom': 'com.pyxis.greenhopper.jira:gh-epic-status', 'customId': 12933}"
