,self,id,description,iconUrl,name,subtask,avatarId
Lighten,https://jira.atlassian.com/rest/api/2/issuetype/10200,10200,,https://jira.atlassian.com/secure/viewavatar?size=xsmall&avatarId=51494&avatarType=issuetype,Lighten,False,51494.0
Experiment,https://jira.atlassian.com/rest/api/2/issuetype/10300,10300,,https://jira.atlassian.com/secure/viewavatar?size=xsmall&avatarId=51494&avatarType=issuetype,Experiment,False,51494.0
Investigation,https://jira.atlassian.com/rest/api/2/issuetype/10400,10400,,https://jira.atlassian.com/secure/viewavatar?size=xsmall&avatarId=51510&avatarType=issuetype,Investigation,False,51510.0
Technical Improvement,https://jira.atlassian.com/rest/api/2/issuetype/10401,10401,,https://jira.atlassian.com/secure/viewavatar?size=xsmall&avatarId=98190&avatarType=issuetype,Technical Improvement,False,98190.0
Spam Issue,https://jira.atlassian.com/rest/api/2/issuetype/10500,10500,This issue is a piece of Spam.,https://jira.atlassian.com/secure/viewavatar?size=xsmall&avatarId=98192&avatarType=issuetype,Spam Issue,False,98192.0
Terminology Update,https://jira.atlassian.com/rest/api/2/issuetype/10600,10600,,https://jira.atlassian.com/images/icons/issuetypes/genericissue.png,Terminology Update,False,
Innovation,https://jira.atlassian.com/rest/api/2/issuetype/10800,10800,,https://jira.atlassian.com/secure/viewavatar?size=xsmall&avatarId=98191&avatarType=issuetype,Innovation,False,98191.0
Request for info,https://jira.atlassian.com/rest/api/2/issuetype/10900,10900,,https://jira.atlassian.com/secure/viewavatar?size=xsmall&avatarId=51490&avatarType=issuetype,Request for info,False,51490.0
Training/Enablement,https://jira.atlassian.com/rest/api/2/issuetype/10901,10901,,https://jira.atlassian.com/secure/viewavatar?size=xsmall&avatarId=51490&avatarType=issuetype,Training/Enablement,False,51490.0
Licensing,https://jira.atlassian.com/rest/api/2/issuetype/10902,10902,,https://jira.atlassian.com/secure/viewavatar?size=xsmall&avatarId=51490&avatarType=issuetype,Licensing,False,51490.0
Initiative,https://jira.atlassian.com/rest/api/2/issuetype/11000,11000,,https://jira.atlassian.com/secure/viewavatar?size=xsmall&avatarId=51499&avatarType=issuetype,Initiative,False,51499.0
Stream,https://jira.atlassian.com/rest/api/2/issuetype/11001,11001,,https://jira.atlassian.com/secure/viewavatar?size=xsmall&avatarId=51494&avatarType=issuetype,Stream,False,51494.0
Flaky Test,https://jira.atlassian.com/rest/api/2/issuetype/11100,11100,,https://jira.atlassian.com/secure/viewavatar?size=xsmall&avatarId=7108494&avatarType=issuetype,Flaky Test,False,7108494.0
Blocker,https://jira.atlassian.com/rest/api/2/issuetype/11300,11300,,https://jira.atlassian.com/secure/viewavatar?size=xsmall&avatarId=51493&avatarType=issuetype,Blocker,False,51493.0
