,id,name,custom,orderable,navigable,searchable,clauseNames,schema
195,customfield_12310320,Target Version/s,True,True,True,True,"['cf[12310320]', 'Target Version/s']","{'type': 'array', 'items': 'version', 'custom': 'com.atlassian.jira.plugin.system.customfieldtypes:multiversion', 'customId': 12310320}"
196,attachment,Attachment,False,True,False,True,['attachments'],"{'type': 'array', 'items': 'attachment', 'system': 'attachment'}"
197,customfield_12314123,Workaround,True,True,True,True,"['cf[12314123]', 'Workaround']","{'type': 'string', 'custom': 'com.atlassian.jira.plugin.system.customfieldtypes:textarea', 'customId': 12314123}"
198,customfield_12314122,Bugzilla Id,True,True,True,True,"['Bugzilla Id', 'cf[12314122]']","{'type': 'number', 'custom': 'com.atlassian.jira.plugin.system.customfieldtypes:importid', 'customId': 12314122}"
199,customfield_12314121,Estimated Complexity,True,True,True,True,"['cf[12314121]', 'Estimated Complexity']","{'type': 'option', 'custom': 'com.atlassian.jira.plugin.system.customfieldtypes:select', 'customId': 12314121}"
200,customfield_12314120,Regression,True,True,True,True,"['cf[12314120]', 'Regression']","{'type': 'array', 'items': 'option', 'custom': 'com.atlassian.jira.plugin.system.customfieldtypes:multicheckboxes', 'customId': 12314120}"
201,customfield_12314129,Review Date,True,True,True,True,"['cf[12314129]', 'Review Date']","{'type': 'date', 'custom': 'com.atlassian.jira.plugin.system.customfieldtypes:datepicker', 'customId': 12314129}"
202,customfield_12314128,Evidence Of Use On World Wide Web,True,True,True,True,"['cf[12314128]', 'Evidence Of Use On World Wide Web']","{'type': 'string', 'custom': 'com.atlassian.jira.plugin.system.customfieldtypes:textarea', 'customId': 12314128}"
203,customfield_12314130,Evidence Of Registration,True,True,True,True,"['cf[12314130]', 'Evidence Of Registration']","{'type': 'string', 'custom': 'com.atlassian.jira.plugin.system.customfieldtypes:textarea', 'customId': 12314130}"
204,customfield_12314138,Reproduced In,True,True,True,True,"['cf[12314138]', 'Reproduced In']","{'type': 'array', 'items': 'version', 'custom': 'com.atlassian.jira.plugin.system.customfieldtypes:multiversion', 'customId': 12314138}"
205,customfield_12311420,Since Version,True,True,True,True,"['cf[12311420]', 'Since Version']","{'type': 'version', 'custom': 'com.atlassian.jira.plugin.system.customfieldtypes:version', 'customId': 12311420}"
206,customfield_12311421,Reproduced In,True,True,True,True,"['cf[12311421]', 'Reproduced In']","{'type': 'array', 'items': 'version', 'custom': 'com.atlassian.jira.plugin.system.customfieldtypes:multiversion', 'customId': 12311421}"
207,customfield_12314137,Tags,True,True,True,True,"['cf[12314137]', 'Tags']","{'type': 'string', 'custom': 'com.atlassian.jira.plugin.system.customfieldtypes:textfield', 'customId': 12314137}"
208,customfield_12314136,Since Version,True,True,True,True,"['cf[12314136]', 'Since Version']","{'type': 'version', 'custom': 'com.atlassian.jira.plugin.system.customfieldtypes:version', 'customId': 12314136}"
209,customfield_12310210,CXF Fields,True,True,True,True,"['cf[12310210]', 'CXF Fields']","{'type': 'array', 'items': 'option', 'custom': 'com.atlassian.jira.plugin.system.customfieldtypes:multicheckboxes', 'customId': 12310210}"
210,customfield_12314135,Reviewer,True,True,True,True,"['cf[12314135]', 'Reviewer']","{'type': 'user', 'custom': 'com.atlassian.jira.plugin.system.customfieldtypes:userpicker', 'customId': 12314135}"
211,customfield_12314134,Hadoop Flags,True,True,True,True,"['cf[12314134]', 'Hadoop Flags']","{'type': 'array', 'items': 'option', 'custom': 'com.atlassian.jira.plugin.system.customfieldtypes:multicheckboxes', 'customId': 12314134}"
212,customfield_12314132,Issue & fix info,True,True,True,True,"['cf[12314132]', 'Issue & fix info']","{'type': 'array', 'items': 'option', 'custom': 'com.atlassian.jira.plugin.system.customfieldtypes:multicheckboxes', 'customId': 12314132}"
213,customfield_12314131,Evidence Of Open Source Adoption,True,True,True,True,"['cf[12314131]', 'Evidence Of Open Source Adoption']","{'type': 'string', 'custom': 'com.atlassian.jira.plugin.system.customfieldtypes:textarea', 'customId': 12314131}"
214,customfield_12314139,Tester,True,True,True,True,"['cf[12314139]', 'Tester']","{'type': 'user', 'custom': 'com.atlassian.jira.plugin.system.customfieldtypes:userpicker', 'customId': 12314139}"
